run_id,strategy,migration_time_s,downtime_s,packet_loss_during_migration_pct,latency_avg_pre_ms,latency_avg_during_ms,latency_avg_post_ms,state_inconsistency,state_size_bytes
run_1024_20251124T220439,precopy,1.1098108291625977,1.1461892127990723,23.809523809523807,1.8300367647058824,10.2555625,2.2070000000000003,2,61570
run_1024_20251124T221939,precopy,1.1763074398040771,1.2027809619903564,25.0,2.009856088560886,9.203066666666667,1.587,0,61570
run_16384_20251124T222010,precopy,1.121870517730713,1.156869888305664,23.809523809523807,2.1138297101449277,3.3076875,1.9536666666666667,2,983171
run_65536_20251124T222039,precopy,1.3836171627044678,1.411203145980835,22.727272727272727,2.3152905405405404,2.032764705882353,0.0,0,3932291
run_262144_20251124T222110,precopy,1.0432515144348145,1.0915720462799072,27.77777777777778,2.89768085106383,13.345,12.082333333333333,3,15728772
run_1048576_20251124T222140,precopy,1.1462852954864502,1.2005510330200195,21.73913043478261,7.842954810495627,12.824111111111112,27.728416666666668,3,62914693
run_1024_20251124T222628,precopy,1.1975183486938477,1.25278902053833,21.73913043478261,1.9394542124542125,8.098833333333333,1.825,2,61570
run_16384_20251124T222657,precopy,1.044597864151001,1.0817680358886719,29.411764705882355,1.9950479704797048,2.023416666666667,2.37,2,966786
run_65536_20251124T222725,precopy,1.1387925148010254,1.1749541759490967,23.809523809523807,2.2955854545454546,16.3173125,4.15025,3,3932292
run_262144_20251124T222754,precopy,1.0816936492919922,1.0903968811035156,27.77777777777778,2.8269640287769784,13.272461538461538,9.835099999999999,1,15728773
run_1048576_20251124T222823,precopy,1.1968460083007812,1.227653980255127,23.809523809523807,6.971606779661017,17.6376875,24.8205,3,62914692
run_1024_20251124T224049,precopy,1.1044771671295166,1.1511669158935547,25.0,2.066783088235294,9.031666666666666,1.6665,3,61570
run_16384_20251124T224119,precopy,1.1937556266784668,1.2009496688842773,20.0,1.9467391304347825,24.54925,0.0,2,1015939
run_65536_20251124T224148,precopy,1.1283361911773682,1.1759440898895264,25.0,2.1562463768115943,6.8148,2.8306666666666667,2,3932292
run_262144_20251124T224217,precopy,1.1645078659057617,1.202603816986084,31.25,3.029381625441696,7.0387272727272725,2.6235,0,15990916
run_1048576_20251124T224247,precopy,1.1487956047058105,1.272078037261963,29.411764705882355,6.388891525423729,5.3029166666666665,36.266999999999996,1,63963269
run_1024_20251124T224558,precopy,1.043527364730835,1.0630950927734375,20.0,1.920970695970696,1.97025,1.9975,1,61570
run_16384_20251124T224627,precopy,1.1036632061004639,1.14910888671875,29.411764705882355,2.3919261992619925,5.957416666666667,2.361,2,983170
run_65536_20251124T224657,precopy,1.139650583267212,1.1721501350402832,23.809523809523807,2.1171029411764706,8.877812500000001,2.63625,1,3932292
run_262144_20251124T224727,precopy,1.172109842300415,1.1965749263763428,23.809523809523807,2.8344751773049643,10.6708125,8.452333333333334,1,15728773
run_1048576_20251124T224756,precopy,1.110112190246582,1.1619210243225098,27.77777777777778,6.688479865771812,8.554,47.3845,2,62914693
run_1024_20251124T225716,precopy,1.0497138500213623,1.0593669414520264,29.411764705882355,2.098345588235294,6.3646666666666665,1.8599999999999999,2,61570
run_16384_20251124T225746,precopy,1.0936717987060547,1.1241190433502197,26.31578947368421,2.1687802197802197,2.582,1.923,1,983171
run_65536_20251124T225815,precopy,1.1412310600280762,1.1975839138031006,27.77777777777778,2.2422,12.114846153846155,2.1826666666666665,3,3932291
